mmsi,.pred_1,year
416002885,0.8801637470363184,2015
416002767,0.8733836586149358,2014
412420892,0.8708604723555856,2015
416121600,0.8707397169676941,2012
416249600,0.8697562517187274,2015
431316000,0.8692328369138684,2012
416004856,0.8690840243361383,2015
416631000,0.8688406708828965,2015
431864000,0.868261024647596,2013
416530000,0.8681832352050124,2015
416002198,0.868129134787456,2013
416004248,0.867301604190602,2013
416704000,0.8666535506909969,2015
441483000,0.8660584277609299,2015
416004718,0.8659021212834933,2014
412460014,0.8649240861172838,2013
416002596,0.8646404766344464,2014
416004937,0.8644408854034552,2015
412331031,0.8641476088251102,2014
416773000,0.8635959847850075,2015
431703710,0.8633190928538994,2015
416002767,0.8631633306471519,2015
416214600,0.8630004516233979,2014
416002926,0.8624761540019018,2014
440345000,0.8621689215547736,2012
416004591,0.8621025596080603,2015
441084000,0.8619601858558321,2012
412420914,0.8617352485686096,2014
440647000,0.8611016594263233,2014
416078600,0.8600257308532624,2012
416167900,0.8599768945786452,2016
416223700,0.8599171699091971,2014
416004747,0.8592364185711001,2014
416091600,0.8586327432136703,2013
577322000,0.8585526378138414,2015
440944000,0.8582994030112258,2015
424426611,0.8579813039605988,2012
416225500,0.8577978306340371,2016
431925000,0.857544132904535,2013
416246700,0.8573995712994734,2015
416242800,0.8566400586725536,2013
455359000,0.856631003769781,2015
412331009,0.8561554105844832,2015
416803000,0.855145919206464,2014
416002841,0.8549673525140061,2015
416246700,0.8546165479048942,2016
416164600,0.8541630736141523,2015
431602690,0.8541002010096326,2014
416240800,0.8538627823403934,2015
416244700,0.8535840548673761,2014
